Composition Code,P (GPa),sigP (GPa),T (K),sigT (K),Vm (cm^3/mol),rho (g/cm^3),nu  (Pa/s),signu (Pa/s),MgO (mol %),SiO2 (mol %),H2O (mol %),#Mg,#Si,#O,#H,Source
MSH40,18.73564,0.09137,2975.98528,0.41126,29.53924546,3.180942208,0.00215,6.72E-04,45.16,32.26,22.58,28,20,82,28,This Study
MSH40,20.01192,0.14967,1785.02696,0.14149,27.69304262,27.69304262,0.03041,0.02661,45.16,32.26,22.58,28,20,82,28,This Study
MSH60,20.76043,0.12569,1777.90545,0.47961,27.04640565,27.04640565,0.00935,0.00295,35.00,25.00,40.00,21,15,75,48,This Study
MSH70,21.13026,0.070226,2957.57474,0.43805,28.44195779,2.84702366,8.55E-04,1.26E-04,28.81,20.34,50.85,17,12,71,60,This Study
FoH50,21.70696,0.08361,2973.95137,0.54515,29.44607876,3.213340043,0.00184,9.50E-04,50.00,25.00,25.00,32,16,80,32,This Study
FoH50,23.38396,0.21371,1783.52243,0.16959,27.48300685,27.48300685,0.02183,0.01521,50.00,25.00,25.00,32,16,80,32,This Study
MSH70,24.93817,0.11285,1774.07145,0.18928,25.85632526,25.85632526,0.00683,0.00501,28.81,20.34,50.85,17,12,71,60,This Study
MS,25.18321,0.15982,2991.34128,0.3603,27.57124524,3.692404238,0.00576,0.00265,55.00,45.00,0.00,33,27,87,0,This Study
MSH40,25.35467,0.10493,2975.83804,0.37965,27.69304262,3.393005022,0.00289,8.01E-04,45.16,32.26,22.58,28,20,82,28,This Study
MSH60,27.20023,0.07551,2964.09403,0.4582,27.04640565,3.188346855,0.00184,8.60E-04,35.00,25.00,40.00,21,15,75,48,This Study
FoH50,29.86971,0.11214,2973.72618,0.26087,27.48300685,3.442864332,0.00344,0.00155,50.00,25.00,25.00,32,16,80,32,This Study
MSH70,31.8833,0.072291,2957.92586,0.44717,25.85632526,3.131726026,0.00152,3.29E-04,28.81,20.34,50.85,17,12,71,60,This Study
MSH60,31.97746,0.15209,1778.26565,0.27278,24.5876415,24.5876415,0.01585,0.01007,35.00,25.00,40.00,21,15,75,48,This Study
